═══════════════════════════════════════════════════════════════
          智能合同审核报告（AI Agent生成）
═══════════════════════════════════════════════════════════════

 合同文件:样例房屋租赁合同.txt
 审核时间：2026-06-15 16:25:47
 审核方式: LLM驱动的ReAct推理

═══════════════════════════════════════════════════════════════

## 合同审核报告

### 一、高风险风险 (HIGH)
1. **合同主体信息不完整 (RULE-001)**
- **问题描述**: 合同仅提供了甲乙双方姓名（张三、李四），缺少详细的地址和联系方式。
- **修正建议**: 确保甲乙双方名称、地址、联系方式齐全，以便核实身份及后续联系。

2. **违约责任不对等 (RULE-005)**
- **问题描述**: 第七条仅约定了乙方的违约责任（逾期支付、擅自转租、损坏房屋），未约定甲方违约责任（如未按时交付房屋、房屋设施故障未维修等）。
- **修正建议**: 增加甲方违约责任条款，确保甲乙双方的违约责任对等，避免单方面加重乙方责任。

3. **缺少争议解决条款 (RULE-008)**
- **问题描述**: 合同中未约定发生争议时的处理方式（仲裁或诉讼）及管辖机构。
- **修正建议**: 必须增加争议解决条款，明确约定仲裁或诉讼方式及管辖机构（如约定房屋所在地人民法院管辖）。

### 二、中风险 (MEDIUM)
1. **缺少统一社会信用代码/身份证号 (RULE-002)**
- **问题描述**: 主体信息中未包含身份证号或统一社会信用代码。
- **修正建议**: 建议补充双方身份证号或统一社会信用代码以便核实主体资质。

2. **金额条款缺少中文大写 (RULE-003)**
- **问题描述**: 租金（5000元）和押金（10000元）仅标注了阿拉伯数字。
- **修正建议**: 建议同时注明阿拉伯数字和中文大写金额（如：伍仟元整），防止金额被篡改。

3. **缺少保密条款 (RULE-006)**
- **问题描述**: 合同未约定双方对房屋信息、个人隐私的保密义务。
- **修正建议**: 建议增加保密条款，明确双方不得向第三方泄露对方隐私或商业秘密。

4. **缺少不可抗力条款 (RULE-007)**
- **问题描述**: 合同未约定自然灾害等不可抗力事件的处理。
- **修正建议**: 建议增加不可抗力条款，约定因不可抗力导致无法履行合同的免责处理。

5. **付款方式不够明确 (RULE-010)**
- **问题描述**: 约定“银行转账至甲方指定账户”，但未在合同中列明具体的开户行、账号和户名。
- **修正建议**: 明确约定付款账户信息（开户行、账号、户名），避免支付错误。

6. **签署日期空白 (RULE-009)**
- **问题描述**: 合同末尾的签署日期处为空白。
- **修正建议**: 签署时务必填写签署日期，并建议补充签署地点。

### 三、低风险 (LOW)
1. **缺少解除条件条款 (RULE-011)**
- **问题描述**: 除甲方单方解除权外，未详细约定其他合同解除情形和程序。
- **修正建议**: 建议增加合同解除条件，约定双方可以解除合同的情形和程序。

2. **缺少通知与送达条款 (RULE-012)**
- **问题描述**: 未明确双方的通知方式和送达地址。
- **修正建议**: 建议增加通知与送达条款，明确双方的通知方式和法律文书送达地址。

═══════════════════════════════════════════════════════════════
报告由「智能合同审核Agent」自动生成
